rank,stage,microbatch,phase,total_ms,count
0,0,0,B,0.05929290048527491,10
0,0,0,F,5808.536311153657,13
0,0,0,W,7798.62192699921,10
0,0,1,B,1.4860438891304284,9
0,0,1,F,6074.198712272583,11
0,0,1,W,6740.301421444975,9
0,0,2,B,0.0635584440907956,9
0,0,2,F,4231.844394555177,9
0,0,2,W,6148.175715555499,9
0,0,3,B,0.18486833343445142,9
0,0,3,F,4926.503049555405,9
0,0,3,W,4647.038907111411,9
1,1,0,B,3857.489758100576,10
1,1,0,F,6060.006238635812,11
1,1,0,W,205.09674139992313,10
1,1,1,B,3833.088489399766,10
1,1,1,F,8111.835222700118,10
1,1,1,W,275.4862923333816,9
1,1,2,B,4169.8116994441725,9
1,1,2,F,6865.379080555638,9
1,1,2,W,238.32463288885543,9
1,1,3,B,4093.3216785557784,9
1,1,3,F,7031.535775777431,9
1,1,3,W,232.8353902223578,9
